athlete_id,name,age,gender,location,nationality,latitude,longitude,primary_sport,secondary_sport,competition_level,years_training,height_cm,weight_kg,bmi,estimated_vo2max,social_network_size,coaching_support,training_partners,career_status,communication_preference,personality_score
ATH_0001,Mei Robinson,20,Female,"Liverpool, UK",UK,53.4,-2.9,Boxing,,Intermediate,4,165,47,17.3,44,31,1,2,Active,Text-focused,1.6
ATH_0002,Sara Torres,32,Female,"New York, USA",USA,40.7,-74.0,Tennis,,Intermediate,4,165,57,20.9,46,55,1,3,Active,Voice-focused,6.1
ATH_0003,Thomas Thomas,21,Male,"Busan, South Korea",South Korea,35.1,129.0,Climbing,,Intermediate,4,184,80,23.6,48,5,1,0,Retired,App-based,1.9
ATH_0004,Yuki Huang,32,Female,"Hamburg, Germany",Germany,53.5,10.0,Football,,Advanced,7,161,67,25.8,45,40,0,0,Active,App-based,5.8
ATH_0005,Aisha Sasaki,35,Female,"San Diego, USA",USA,32.7,-117.1,Basketball,,Advanced,7,165,65,23.9,53,63,0,2,Active,Text-focused,3.3
ATH_0006,Kimberly Allen,29,Female,"Moscow, Russia",Russia,55.7,37.6,Tennis,,Elite Amateur,13,153,58,24.8,60,5,1,0,Active,Voice-focused,6.5
ATH_0007,Vikram Colombo,35,Male,"Dallas, USA",USA,32.7,-96.7,Rowing,Swimming,Advanced,14,170,86,29.8,53,25,0,1,Active,Email-focused,1.8
ATH_0008,Jean Wright,60,Male,"Montreal, Canada",Canada,45.5,-73.5,Cycling,,Elite Amateur,14,178,62,19.6,51,36,1,1,Active,Text-focused,2.7
ATH_0009,Emma Williams,20,Female,"Birmingham, UK",UK,52.4,-1.9,Rugby,Volleyball,Advanced,6,178,55,17.4,50,53,0,0,Active,Email-focused,0.8
ATH_0010,Anna Rossi,23,Female,"Frankfurt, Germany",Germany,50.1,8.6,Tennis,,Elite Amateur,10,164,84,31.2,50,44,1,1,Active,Mixed,6.5
ATH_0011,Leonardo Rossi,18,Male,"Barcelona, Spain",Spain,41.3,2.1,Skiing,Swimming,Intermediate,3,178,75,23.7,51,28,1,0,Active,App-based,1.6
ATH_0012,Anna Allen,45,Female,"Melbourne, Australia",Australia,-37.8,144.9,Cycling,,Advanced,11,165,57,20.9,46,9,0,0,Active,Text-focused,0.7
ATH_0013,Mia Mehta,28,Female,"Liverpool, UK",UK,53.4,-2.9,Triathlon,,Elite Amateur,10,160,67,26.2,54,20,1,0,Retired,Voice-focused,8.0
ATH_0014,Sophie Lewis,32,Female,"Guangzhou, China",China,23.1,113.2,Running,Cycling,Semi-Pro,14,167,59,21.2,54,123,1,8,Active,Mixed,9.7
ATH_0015,Jessica Miller,30,Female,"Singapore, Singapore",Singapore,1.3,103.8,CrossFit,,Intermediate,7,150,66,29.3,43,35,0,2,Active,Text-focused,0.9
ATH_0016,Federica Hernandez,25,Female,"Mumbai, India",India,19.0,72.8,Basketball,,Elite Amateur,10,160,53,20.7,50,63,1,1,Active,Mixed,9.4
ATH_0017,Chiara Gonzalez,22,Female,"San Jose, USA",USA,37.3,-121.8,Swimming,,Advanced,6,156,59,24.2,46,63,1,4,Active,Email-focused,4.5
ATH_0018,Giulia Flores,35,Female,"Manchester, UK",UK,53.4,-2.2,Cycling,,Elite Amateur,18,168,59,20.9,53,33,1,1,Active,Text-focused,1.2
ATH_0019,Daniel Martin,25,Male,"Delhi, India",India,28.6,77.2,Basketball,,Advanced,8,179,73,22.8,57,63,0,4,Active,Voice-focused,6.2
